Nyckeltal;Kommun/Landsting;År;Visat Värde
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nybro;2010;11,183638
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nybro;2013;10,63009
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nykvarn;2010;4,966887
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nykvarn;2013;6,626506
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nyköping;2010;12,058721
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nyköping;2013;10,246978
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nynäshamn;2010;5,148515
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nynäshamn;2013;6,848885
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nässjö;2010;9,853308
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Nässjö;2013;12,155318
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ockelbo;2010;13,363363
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ockelbo;2013;13,572543
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Olofström;2010;17,973856
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Olofström;2013;18,815789
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Orsa;2010;10,332951
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Orsa;2013;11,938534
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Orust;2010;6,621287
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Orust;2013;4,808317
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Osby;2010;11,362032
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Osby;2013;10,810811
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Oskarshamn;2010;12,408249
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Oskarshamn;2013;12,85664
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ovanåker;2010;15,136876
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ovanåker;2013;14,614122
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Oxelösund;2010;11,656442
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Oxelösund;2013;11,656442
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Pajala;2010;14,827018
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Pajala;2013;10,684474
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Partille;2010;5,093023
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Partille;2013;5,486399
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Perstorp;2010;9,872242
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Perstorp;2013;10,419162
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Piteå;2010;13,450413
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Piteå;2013;10,889255
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ragunda;2010;15,953947
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ragunda;2013;15,017668
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Robertsfors;2010;10,285006
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Robertsfors;2013;7,022472
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ronneby;2010;14,787201
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ronneby;2013;16,863009
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Rättvik;2010;8,635097
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Rättvik;2013;7,596068
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sala;2010;13,75
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sala;2013;14,302981
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Salem;2010;4,924242
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Salem;2013;4,144806
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sandviken;2010;15,534442
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sandviken;2013;15,375475
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sigtuna;2010;6,40128
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sigtuna;2013;5,620263
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Simrishamn;2010;10,275689
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Simrishamn;2013;8,702213
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sjöbo;2010;8,040712
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sjöbo;2013;8,870116
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skara;2010;12,377451
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skara;2013;7,675815
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skellefteå;2010;14,158978
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skellefteå;2013;11,710866
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skinnskatteberg;2010;8,704453
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skinnskatteberg;2013;10,067114
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skurup;2010;9,94575
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skurup;2013;11,720117
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skövde;2010;9,864138
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Skövde;2013;8,912134
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Smedjebacken;2010;9,85267
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Smedjebacken;2013;6,653426
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sollefteå;2010;16,620241
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sollefteå;2013;18,476096
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sollentuna;2010;4,26373
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sollentuna;2013;3,986577
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Solna;2010;3,36882
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Solna;2013;3,27368
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sorsele;2010;11,111111
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sorsele;2013;8,026756
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sotenäs;2010;6,292906
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sotenäs;2013;7,834101
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Staffanstorp;2010;6,789606
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Staffanstorp;2013;6,556684
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Stenungsund;2010;5,756698
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Stenungsund;2013;6,067172
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Stockholm;2010;3,840873
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Stockholm;2013;4,244288
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Storfors;2010;21,794872
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Storfors;2013;15,0358
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Storuman;2010;11,802233
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Storuman;2013;12,755102
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Strängnäs;2010;7,786651
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Strängnäs;2013;8,917379
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Strömstad;2010;6,037152
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Strömstad;2013;4,856512
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Strömsund;2010;17,53485
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Strömsund;2013;15,372671
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sundbyberg;2010;4,871673
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sundbyberg;2013;6,012071
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sundsvall;2010;12,306027
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sundsvall;2013;12,045271
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sunne;2010;9,74707
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sunne;2013;9,51189
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Surahammar;2010;14,590747
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Surahammar;2013;14,650934
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Svalöv;2010;8,836618
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Svalöv;2013;10,479798
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Svedala;2010;7,214048
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Svedala;2013;8,337444
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Svenljunga;2010;9,012132
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Svenljunga;2013;7,220217
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Säffle;2010;13,575968
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Säffle;2013;14,549654
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Säter;2010;6,004804
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Säter;2013;6,35481
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sävsjö;2010;6,989247
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sävsjö;2013;6,614173
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Söderhamn;2010;16,499481
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Söderhamn;2013;13,326338
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Söderköping;2010;7,215793
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Söderköping;2013;7,655827
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Södertälje;2010;7,853019
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Södertälje;2013;9,318122
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sölvesborg;2010;14,927048
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Sölvesborg;2013;16,910474
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tanum;2010;7,681053
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tanum;2013;6,226557
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tibro;2010;11,08354
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tibro;2013;11,900958
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tidaholm;2010;11,585366
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tidaholm;2013;8,888889
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tierp;2010;13,231441
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tierp;2013;12,797992
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Timrå;2010;14,648977
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Timrå;2013;12,997904
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tingsryd;2010;10,693215
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tingsryd;2013;11,609907
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tjörn;2010;4,819277
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tjörn;2013;4,291593
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tomelilla;2010;11,577522
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tomelilla;2013;14,047791
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Torsby;2010;11,479199
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Torsby;2013;8,785332
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Torsås;2010;10,835509
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Torsås;2013;12,535613
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tranemo;2010;8,081571
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tranemo;2013;8,076923
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tranås;2010;10,313076
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tranås;2013;10,762943
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Trelleborg;2010;11,002341
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Trelleborg;2013;13,19605
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Trollhättan;2010;14,412636
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Trollhättan;2013;14,356303
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Trosa;2010;6,661184
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Trosa;2013;6,446414
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tyresö;2010;3,515781
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Tyresö;2013;5,336866
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Täby;2010;2,458051
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Täby;2013;2,085071
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Töreboda;2010;14,607755
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Töreboda;2013;12,088975
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Uddevalla;2010;12,773779
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Uddevalla;2013;10,748172
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ulricehamn;2010;9,613869
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ulricehamn;2013;6,547619
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Umeå;2010;7,782568
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Umeå;2013;6,477711
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Upplands Väsby;2010;4,47696
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Upplands Väsby;2013;5,059836
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Upplands-Bro;2010;5,664336
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Upplands-Bro;2013;5,757368
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Uppsala;2010;4,405956
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Uppsala;2013;3,660983
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Uppvidinge;2010;9,541985
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Uppvidinge;2013;13,235294
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vadstena;2010;7,412224
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vadstena;2013;9,02965
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vaggeryd;2010;10,358306
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vaggeryd;2013;10,082873
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Valdemarsvik;2010;8,302354
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Valdemarsvik;2013;9,536785
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vallentuna;2010;2,759644
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vallentuna;2013;2,837876
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vansbro;2010;8,125819
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vansbro;2013;8,176944
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vara;2010;9,679173
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vara;2013;9,682805
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Varberg;2010;7,127883
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Varberg;2013;5,949657
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vaxholm;2010;2,12963
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vaxholm;2013;2,090592
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vellinge;2010;4,546823
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vellinge;2013;5,164455
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vetlanda;2010;8,509256
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vetlanda;2013;10,118655
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vilhelmina;2010;15,777262
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vilhelmina;2013;15,230961
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vimmerby;2010;10,623306
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vimmerby;2013;10,844047
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vindeln;2010;11,5
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vindeln;2013;8,924949
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vingåker;2010;10,455487
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vingåker;2013;13,800206
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vänersborg;2010;13,672422
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vänersborg;2013;13,249882
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vännäs;2010;12,121212
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vännäs;2013;14,650934
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Värmdö;2010;3,629442
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Värmdö;2013;3,732901
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Värnamo;2010;10,925248
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Värnamo;2013;9,272051
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Västervik;2010;13,185995
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Västervik;2013;13,543307
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Västerås;2010;10,431294
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Västerås;2013;9,994845
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Växjö;2010;9,280154
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Växjö;2013;8,727085
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vårgårda;2010;8,910162
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Vårgårda;2013;10,989811
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ydre;2010;5,707196
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ydre;2013;7,756233
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ystad;2010;9,329248
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ystad;2013;12,801358
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älmhult;2010;10,089021
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älmhult;2013;10,395747
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älvdalen;2010;11,054638
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älvdalen;2013;12,125535
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älvkarleby;2010;13,103448
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älvkarleby;2013;15,513627
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älvsbyn;2010;13,589212
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Älvsbyn;2013;10,561056
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ängelholm;2010;10,544141
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ängelholm;2013;9,376402
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åmål;2010;14,038877
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åmål;2013;15,417867
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ånge;2010;15,240642
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ånge;2013;13,102119
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åre;2010;5,263158
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åre;2013;5,28026
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Årjäng;2010;6,374881
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Årjäng;2013;5,508072
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åsele;2010;12,865497
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åsele;2013;10,86262
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åstorp;2010;10,14245
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åstorp;2013;9,177928
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åtvidaberg;2010;10,591133
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Åtvidaberg;2013;10,487805
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Öckerö;2010;5,799257
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Öckerö;2013;5,405405
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ödeshög;2010;10,909091
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Ödeshög;2013;8,967851
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Örebro;2010;8,611493
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Örebro;2013;8,531185
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Örkelljunga;2010;9,114812
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Örkelljunga;2013;9,009009
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Örnsköldsvik;2010;13,934837
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Örnsköldsvik;2013;11,995229
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Östersund;2010;11,638329
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Östersund;2013;10,34901
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Österåker;2010;5,151018
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Österåker;2013;4,170384
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Östhammar;2010;5,89391
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Östhammar;2013;7,009901
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Östra Göinge;2010;10,647308
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Östra Göinge;2013;12,939002
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Överkalix;2010;26,329114
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Överkalix;2013;15,555556
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Övertorneå;2010;14,230769
Arbetslöshet 16-24 år i kommunen, andel (%) av bef.;Övertorneå;2013;11,809524
Arbetslöshet, (%);Alla kommuner (ovägt medel);2010;8,01738872
Arbetslöshet, (%);Alla kommuner (ovägt medel);2013;7,40173275
Arbetslöshet, (%);Ale;2010;6,82862
Arbetslöshet, (%);Ale;2013;5,473989
Arbetslöshet, (%);Alingsås;2010;7,400754
Arbetslöshet, (%);Alingsås;2013;6,305582
Arbetslöshet, (%);Alvesta;2010;7,918182
Arbetslöshet, (%);Alvesta;2013;8,872642
Arbetslöshet, (%);Aneby;2010;7,393908
Arbetslöshet, (%);Aneby;2013;6,565524
Arbetslöshet, (%);Arboga;2010;10,130246
Arbetslöshet, (%);Arboga;2013;8,905751
Arbetslöshet, (%);Arjeplog;2010;9,649123
Arbetslöshet, (%);Arjeplog;2013;6,088455
Arbetslöshet, (%);Arvidsjaur;2010;9,537804
Arbetslöshet, (%);Arvidsjaur;2013;7,238307
Arbetslöshet, (%);Arvika;2010;9,91698
Arbetslöshet, (%);Arvika;2013;8,176353
Arbetslöshet, (%);Askersund;2010;7,410249
Arbetslöshet, (%);Askersund;2013;6,131387
Arbetslöshet, (%);Avesta;2010;7,591603
Arbetslöshet, (%);Avesta;2013;7,366996
Arbetslöshet, (%);Bengtsfors;2010;8,674827
Arbetslöshet, (%);Bengtsfors;2013;8,348829
Arbetslöshet, (%);Berg;2010;12,452015
Arbetslöshet, (%);Berg;2013;7,180385
Arbetslöshet, (%);Bjurholm;2010;6,671839
Arbetslöshet, (%);Bjurholm;2013;10,194175
Arbetslöshet, (%);Bjuv;2010;9,305462
Arbetslöshet, (%);Bjuv;2013;9,088851
Arbetslöshet, (%);Boden;2010;8,60581
Arbetslöshet, (%);Boden;2013;8,648385
Arbetslöshet, (%);Bollebygd;2010;6,195762
Arbetslöshet, (%);Bollebygd;2013;4,88437
Arbetslöshet, (%);Bollnäs;2010;11,20667
Arbetslöshet, (%);Bollnäs;2013;10,215702
Arbetslöshet, (%);Borgholm;2010;5,392239
Arbetslöshet, (%);Borgholm;2013;6,39413
Arbetslöshet, (%);Borlänge;2010;7,698271
Arbetslöshet, (%);Borlänge;2013;7,414372
Arbetslöshet, (%);Borås;2010;7,840317
Arbetslöshet, (%);Borås;2013;7,192296
Arbetslöshet, (%);Botkyrka;2010;8,076825
Arbetslöshet, (%);Botkyrka;2013;9,630013
Arbetslöshet, (%);Boxholm;2010;9,674267
Arbetslöshet, (%);Boxholm;2013;7,830723
Arbetslöshet, (%);Bromölla;2010;9,228842
Arbetslöshet, (%);Bromölla;2013;11,414814
Arbetslöshet, (%);Bräcke;2010;13,359375
Arbetslöshet, (%);Bräcke;2013;10,651049
Arbetslöshet, (%);Burlöv;2010;8,767205
Arbetslöshet, (%);Burlöv;2013;8,87184
Arbetslöshet, (%);Båstad;2010;5,423729
Arbetslöshet, (%);Båstad;2013;5,947137
Arbetslöshet, (%);Dals-Ed;2010;9,172662
Arbetslöshet, (%);Dals-Ed;2013;7,838746
Arbetslöshet, (%);Danderyd;2010;2,504535
Arbetslöshet, (%);Danderyd;2013;2,133901
Arbetslöshet, (%);Degerfors;2010;10,275556
Arbetslöshet, (%);Degerfors;2013;8,337986
Arbetslöshet, (%);Dorotea;2010;8,578745
Arbetslöshet, (%);Dorotea;2013;9,310114
Arbetslöshet, (%);Eda;2010;9,190155
Arbetslöshet, (%);Eda;2013;6,117455
Arbetslöshet, (%);Ekerö;2010;2,706572
Arbetslöshet, (%);Ekerö;2013;2,844509
Arbetslöshet, (%);Eksjö;2010;5,14729
Arbetslöshet, (%);Eksjö;2013;6,569188
Arbetslöshet, (%);Emmaboda;2010;7,312476
Arbetslöshet, (%);Emmaboda;2013;8,015564
Arbetslöshet, (%);Enköping;2010;6,214401
Arbetslöshet, (%);Enköping;2013;5,385068
Arbetslöshet, (%);Eskilstuna;2010;12,311687
Arbetslöshet, (%);Eskilstuna;2013;11,933219
Arbetslöshet, (%);Eslöv;2010;6,406242
Arbetslöshet, (%);Eslöv;2013;6,87631
Arbetslöshet, (%);Essunga;2010;7,260525
Arbetslöshet, (%);Essunga;2013;6,275494
Arbetslöshet, (%);Fagersta;2010;8,073575
Arbetslöshet, (%);Fagersta;2013;9,529086
Arbetslöshet, (%);Falkenberg;2010;7,64369
Arbetslöshet, (%);Falkenberg;2013;6,53279
Arbetslöshet, (%);Falköping;2010;8,193943
Arbetslöshet, (%);Falköping;2013;7,405789
Arbetslöshet, (%);Falun;2010;7,647388
Arbetslöshet, (%);Falun;2013;6,425358
Arbetslöshet, (%);Filipstad;2010;12,413223
Arbetslöshet, (%);Filipstad;2013;10,700919
